doctrine/infrastructure/docex.md	146	core services	AMBIG	low	codebase? or KEEP?	`./bin/docex build` to refresh `dist/` for all core services in the `dev` environment.
doctrine/infrastructure/docex.md	147	core service	AMBIG	low	codebase? or KEEP?	`./bin/docex build <core_service_name>` to refresh a specific core service.
doctrine/infrastructure/infrastructure.md	121	core services	AMBIG	low	codebase? or KEEP?	+ **core services** which contain bespoke code for the project.
doctrine/infrastructure/infrastructure.md	125	core services	AMBIG	low	codebase? or KEEP?	This doctrine sets down some hard rules for core services:
doctrine/infrastructure/infrastructure.md	127	Core services	PROTECTED_NEARBY	review	codebase? or KEEP?	2. **Core services execute as stateless processes**. This is a direct principle of the 12-factor app. Processes are stateless and share nothing. All p
doctrine/infrastructure/infrastructure.md	190	Core services	AMBIG	low	codebase? or KEEP?	Core services go in the `core` folder. Each is given a name (like `api`) that will match the key under `core_services` in `infra.yml`. Each of these f
doctrine/infrastructure/infrastructure.md	190	core_services	AMBIG	low	codebase? or KEEP?	Core services go in the `core` folder. Each is given a name (like `api`) that will match the key under `core_services` in `infra.yml`. Each of these f
doctrine/infrastructure/infrastructure.md	190	core service	AMBIG	low	codebase? or KEEP?	Core services go in the `core` folder. Each is given a name (like `api`) that will match the key under `core_services` in `infra.yml`. Each of these f
doctrine/infrastructure/infrastructure.md	228	core service	AMBIG	mixed	codebase? or KEEP?	All core service containers place the service working directory at a fixed root: `/service`. This root maps to the "core service folder" in the source
doctrine/infrastructure/infrastructure.md	228	core service	AMBIG	mixed	codebase? or KEEP?	All core service containers place the service working directory at a fixed root: `/service`. This root maps to the "core service folder" in the source
doctrine/infrastructure/infrastructure.md	228	core service	AMBIG	mixed	codebase? or KEEP?	All core service containers place the service working directory at a fixed root: `/service`. This root maps to the "core service folder" in the source
doctrine/infrastructure/infrastructure.md	232	core services	AMBIG	low	codebase? or KEEP?	Dockerfiles will all describe multi-stage builds. The following list of stages must be available for *all* core services, as the CI/CD scripts will re
doctrine/infrastructure/infrastructure.md	250	core service	AMBIG	low	codebase? or KEEP?	1. As a form of documentation, making it easy for a developer to know how to interact with a core service from the outside without having to understan
doctrine/infrastructure/infrastructure.md	253	core service	AMBIG	low	codebase? or KEEP?	The idea is that all core service [process types](./cicl.md#process-types) are either providers, consumers, or both. A very simple case is a webapp wi
doctrine/infrastructure/infrastructure.md	253	core service	AMBIG	low	codebase? or KEEP?	The idea is that all core service [process types](./cicl.md#process-types) are either providers, consumers, or both. A very simple case is a webapp wi
doctrine/infrastructure/infrastructure.md	253	core service	AMBIG	low	codebase? or KEEP?	The idea is that all core service [process types](./cicl.md#process-types) are either providers, consumers, or both. A very simple case is a webapp wi
doctrine/infrastructure/infrastructure.md	263	core services	AMBIG	low	codebase? or KEEP?	+ `frontend.web` has no contract, as it is only a consumer relative to other core services.
doctrine/infrastructure/infrastructure.md	269	core service	AMBIG	low	codebase? or KEEP?	Every core service which is a provider *must* have a contract to pass CI checks.
doctrine/infrastructure/infrastructure.md	281	core services	AMBIG	low	codebase? or KEEP?	**contracts** - Contains contracts which describe the boundaries between core services.
doctrine/infrastructure/infrastructure.md	287	core service	AMBIG	low	codebase? or KEEP?	Put succinctly, *what gets reported* is a design concern and *how it moves across infrastructure* is a deterministic `docex` concern. It is the projec
doctrine/infrastructure/reasoning/elastic_release_pattern.md	12	core services	AMBIG	low	codebase? or KEEP?	The load balancer option is by far the most desirable. It mirrors how name resolution works on the `fixed` side. However, this choice would require a 
doctrine/infrastructure/reasoning/elastic_release_pattern.md	26	core services	AMBIG	low	codebase? or KEEP?	Currently, requiring all core services to be reachable via HTTP is an offshoot of requiring HTTP-based healthchecks (see [healtchecks.md](./healthchec
doctrine/infrastructure/reasoning/elastic_release_pattern.md	26	core service	AMBIG	low	codebase? or KEEP?	Currently, requiring all core services to be reachable via HTTP is an offshoot of requiring HTTP-based healthchecks (see [healtchecks.md](./healthchec
doctrine/infrastructure/shape.md	17	core_service	AMBIG	low	codebase? or KEEP?	In these sections, [service] is shorthand for "[core_service]s and [backing_service]s". Both [web_network] and [internal_network] are forms of [networ
doctrine/infrastructure/shape.md	25	core_service	AMBIG	low	codebase? or KEEP?	**Runtime Shape** - [registrar] sets [dns]; [dns] routes requests by domain to the [host_machine]. Here [web_demux] picks up 443/80 requests and forwa
doctrine/infrastructure/shape.md	51	core_service	AMBIG	low	codebase? or KEEP?	| telemetry_sidecar | environment | OTel Collector | Collector sidecar, one distinct compose container per *emitted* [core_service] container — i.e. p
doctrine/infrastructure/shape.md	51	core_service	AMBIG	low	codebase? or KEEP?	| telemetry_sidecar | environment | OTel Collector | Collector sidecar, one distinct compose container per *emitted* [core_service] container — i.e. p
doctrine/infrastructure/shape.md	55	core_service	AMBIG	low	codebase? or KEEP?	**Runtime Shape** - [registrar] sets [dns]; [dns] routes requests by domain to the project's [reverse_proxy] within the [master_network]. The [reverse
doctrine/infrastructure/shape.md	69	core_service	AMBIG	low	codebase? or KEEP?	| reverse_proxy | project | AWS ALB or EC2-with-traefik | Each project gets its own reverse proxy. This is project-configured either as an ALB or a sm
doctrine/infrastructure/shape.md	74	core_service	AMBIG	low	codebase? or KEEP?	| ecs_cluster | project | AWS ECS cluster | One empty cluster per production-side env (`${project}-stage`, `${project}-prod`), provisioned at the proj
doctrine/infrastructure/shape.md	81	core_service	AMBIG	low	codebase? or KEEP?	| telemetry_sidecar | environment | OTel Collector | Collector sidecar, one container inside each task definition that also runs an ECS service — so o
doctrine/infrastructure/specifics/config_and_secrets.md	26	core service	AMBIG	low	codebase? or KEEP?	| **Secret** | a core service's `secrets:` block, a backing engine's `kind: secret` env var, or a doctrine-injected key (`TELEMETRY_API_KEY`) | operat
doctrine/infrastructure/specifics/config_and_secrets.md	27	core service	AMBIG	low	codebase? or KEEP?	| **Config** | a core service's `config:` block | operator-supplied, non-secret, freely LLM-readable, non-git-tracked | `infra/config/<env>.env` |
doctrine/infrastructure/specifics/config_and_secrets.md	233	core service	AMBIG	low	codebase? or KEEP?	A core service's container environment is *identical in shape* across both
doctrine/infrastructure/specifics/config_and_secrets.md	243	core service	AMBIG	low	codebase? or KEEP?	mechanism differs. The compiler binds these end-to-end: a core service's
doctrine/infrastructure/specifics/config_and_secrets.md	287	core service	AMBIG	low	codebase? or KEEP?	| `TELEMETRY_API_KEY` | stage, prod | The project's observability backend (HyperDX or equivalent) | The OTel sidecar paired with each core service. Se
doctrine/infrastructure/specifics/migrations.md	46	Core Service	AMBIG	mixed	codebase? or KEEP?	(`./migrate.sh` is relative because the image's working directory is the fixed `/service` root — see [Core Service Containers](../infrastructure.md#co
doctrine/infrastructure/specifics/projinfra/elastic_ecr.md	13	core service	AMBIG	low	codebase? or KEEP?	One ECR repository per core service, in the project's elastic region (currently `us-east-1`):
doctrine/infrastructure/specifics/projinfra/elastic_ecr.md	19	core services	AMBIG	low	codebase? or KEEP?	For a project named `myproject` with core services `api` and `worker`, the resources are `aws_ecr_repository.api` and `aws_ecr_repository.worker`, wit
doctrine/infrastructure/specifics/projinfra/elastic_ecr.md	65	core service	AMBIG	low	codebase? or KEEP?	The project's `main.tf` declares one output per core service:
doctrine/infrastructure/specifics/projinfra/elastic_iam.md	59	core service	AMBIG	low	codebase? or KEEP?	# one entry per core service
doctrine/infrastructure/specifics/projinfra/elastic_iam.md	114	core service	AMBIG	low	codebase? or KEEP?	The role comes up with `./bin/docex projinfra up production` and is updated on every projinfra-apply that changes the project's ECR repositories or co
doctrine/infrastructure/specifics/projinfra/fixed_reverse_proxy.md	128	core service	AMBIG	low	codebase? or KEEP?	The compiled env-tier `compose.yml` files emit each `web`-network core service with traefik discovery labels (see [transfer_tables.md § Per-container 
doctrine/infrastructure/specifics/projinfra/projinfra.md	85	core service	AMBIG	low	codebase? or KEEP?	| What gets created | OpenTofu state backend (S3 + DynamoDB); Route53 hosted zone; two ACM certs; the project reverse proxy (ALB *or* EC2-traefik depe
doctrine/infrastructure/specifics/release.md	89	core services	AMBIG	low	codebase? or KEEP?	- The ECS services for the env's core services (attached into the project-tier `${project}-${env}` cluster, which projinfra already created — see [sha
doctrine/infrastructure/specifics/scheduler.md	95	core service	AMBIG	low	codebase? or KEEP?	For a `scheduler` process type `<proc>` of core service `<svc>`, `docex compile`
doctrine/infrastructure/specifics/telemetry_infra.md	9	core service	AMBIG	low	codebase? or KEEP?	Scope: how the OTel collector sidecar is shaped, configured, secured, and wired into each core service's runtime, per foundation, plus the Class-2 con
doctrine/infrastructure/specifics/telemetry_infra.md	13	core service	AMBIG	low	codebase? or KEEP?	Two distinct classes of output leave a core service, and only the first flows through the OTel sidecar this document otherwise describes:
doctrine/infrastructure/specifics/telemetry_infra.md	40	core services	AMBIG	low	codebase? or KEEP?	- The `otlp` receiver listens on `:4318` (HTTP/protobuf) — matching the `OTEL_EXPORTER_OTLP_PROTOCOL=http/protobuf` the doctrine injects into core ser
doctrine/infrastructure/specifics/telemetry_infra.md	102	Core Services	AMBIG	low	codebase? or KEEP?	### Env Vars Injected on Core Services
doctrine/infrastructure/specifics/telemetry_infra.md	104	core service	AMBIG	low	codebase? or KEEP?	Every core service **process type** receives the doctrine-injected env vars defined in [transfer_tables.md § Per-core-service env](./transfer_tables.m
doctrine/infrastructure/specifics/telemetry_infra.md	109	core_service	AMBIG	low	codebase? or KEEP?	| `OTEL_SERVICE_NAME` | The process type's compiled identity, `<core_service>-<process>` | OTel-standard service identity |
doctrine/infrastructure/specifics/telemetry_infra.md	110	core service	AMBIG	low	codebase? or KEEP?	| `OTEL_EXPORTER_OTLP_ENDPOINT` | `http://localhost:4318` | Same on both foundations — the paired sidecar shares the core service's network namespace,
doctrine/infrastructure/specifics/telemetry_infra.md	112	core_service	AMBIG	low	codebase? or KEEP?	| `OTEL_RESOURCE_ATTRIBUTES` | `service.namespace=${project_name},service.version=${project_version},deployment.environment.name=${env_name},docex.cor
doctrine/infrastructure/specifics/telemetry_infra.md	112	core_service	AMBIG	low	codebase? or KEEP?	| `OTEL_RESOURCE_ATTRIBUTES` | `service.namespace=${project_name},service.version=${project_version},deployment.environment.name=${env_name},docex.cor
doctrine/infrastructure/specifics/telemetry_infra.md	166	Core service	AMBIG	low	codebase? or KEEP?	| Sidecar crashed | Core service's SDK can't reach `OTEL_EXPORTER_OTLP_ENDPOINT`; SDK buffers briefly, then drops | Sidecar container logs; on elastic
